[2026-06-18T20:38:20.005+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T20:38:20.030+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.048+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.049+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-06-18T20:38:20.509+0000] {data_modification.py:80} INFO - Update row with Video_ID: Hnhpd6DKLBA
[2026-06-18T20:38:20.511+0000] {data_modification.py:80} INFO - Update row with Video_ID: 65si0zV0phY
[2026-06-18T20:38:20.513+0000] {data_modification.py:80} INFO - Update row with Video_ID: d6l5pT3DE0U
[2026-06-18T20:38:20.514+0000] {data_modification.py:80} INFO - Update row with Video_ID: tjb0OAAudcE
[2026-06-18T20:38:20.516+0000] {data_modification.py:80} INFO - Update row with Video_ID: JJkgtXf4oR4
[2026-06-18T20:38:20.519+0000] {data_modification.py:80} INFO - Update row with Video_ID: laH0EVnCgFY
[2026-06-18T20:38:20.521+0000] {data_modification.py:80} INFO - Update row with Video_ID: yeiUsI2aW2A
[2026-06-18T20:38:20.522+0000] {data_modification.py:80} INFO - Update row with Video_ID: IwIYx55Vlxk
[2026-06-18T20:38:20.524+0000] {data_modification.py:80} INFO - Update row with Video_ID: fAd2nKfrDB8
[2026-06-18T20:38:20.526+0000] {data_modification.py:80} INFO - Update row with Video_ID: 4rhDw4LrfoY
[2026-06-18T20:38:20.528+0000] {data_modification.py:80} INFO - Update row with Video_ID: fb9XW4v4xXI
[2026-06-18T20:38:20.529+0000] {data_modification.py:80} INFO - Update row with Video_ID: XLlI_cBwpEw
[2026-06-18T20:38:20.532+0000] {data_modification.py:80} INFO - Update row with Video_ID: PnRQQp2lkas
[2026-06-18T20:38:20.534+0000] {data_modification.py:80} INFO - Update row with Video_ID: v1yNVU1uk8E
[2026-06-18T20:38:20.536+0000] {data_modification.py:80} INFO - Update row with Video_ID: xs_ruxz6OLs
[2026-06-18T20:38:20.539+0000] {data_modification.py:80} INFO - Update row with Video_ID: 3MQgV_0qYW4
[2026-06-18T20:38:20.540+0000] {data_modification.py:80} INFO - Update row with Video_ID: OTQnas6NZsM
[2026-06-18T20:38:20.542+0000] {data_modification.py:80} INFO - Update row with Video_ID: 2LfJcOt7Zhs
[2026-06-18T20:38:20.544+0000] {data_modification.py:80} INFO - Update row with Video_ID: 4xZSOmwSa84
[2026-06-18T20:38:20.546+0000] {data_modification.py:80} INFO - Update row with Video_ID: a85nnCpFVuc
[2026-06-18T20:38:20.548+0000] {data_modification.py:80} INFO - Update row with Video_ID: ZVZ-ss89ixY
[2026-06-18T20:38:20.550+0000] {data_modification.py:80} INFO - Update row with Video_ID: WELMZSlw2Po
[2026-06-18T20:38:20.553+0000] {data_modification.py:80} INFO - Update row with Video_ID: 2urBppf3uy8
[2026-06-18T20:38:20.554+0000] {data_modification.py:80} INFO - Update row with Video_ID: vTMyOchxhdo
[2026-06-18T20:38:20.556+0000] {data_modification.py:80} INFO - Update row with Video_ID: 5Be-6WsMBgY
[2026-06-18T20:38:20.558+0000] {data_modification.py:80} INFO - Update row with Video_ID: 5k058dhTeno
[2026-06-18T20:38:20.560+0000] {data_modification.py:80} INFO - Update row with Video_ID: k2Mi_D77qOA
[2026-06-18T20:38:20.562+0000] {data_modification.py:80} INFO - Update row with Video_ID: 9LuE0YsEojI
[2026-06-18T20:38:20.564+0000] {data_modification.py:80} INFO - Update row with Video_ID: hDYCykMGZcI
[2026-06-18T20:38:20.566+0000] {data_modification.py:80} INFO - Update row with Video_ID: _oWgUdlhD30
[2026-06-18T20:38:20.569+0000] {data_modification.py:80} INFO - Update row with Video_ID: 5QT58KiVi6U
[2026-06-18T20:38:20.570+0000] {data_modification.py:80} INFO - Update row with Video_ID: cwHcr4NrkzI
[2026-06-18T20:38:20.572+0000] {data_modification.py:80} INFO - Update row with Video_ID: e-kEIMVTyKI
[2026-06-18T20:38:20.574+0000] {data_modification.py:80} INFO - Update row with Video_ID: XBTk4hQvgG0
[2026-06-18T20:38:20.576+0000] {data_modification.py:80} INFO - Update row with Video_ID: MQhVC0isILw
[2026-06-18T20:38:20.579+0000] {data_modification.py:80} INFO - Update row with Video_ID: Hq2-8w33kek
[2026-06-18T20:38:20.581+0000] {data_modification.py:80} INFO - Update row with Video_ID: Qlw2sWfIaL0
[2026-06-18T20:38:20.582+0000] {data_modification.py:80} INFO - Update row with Video_ID: ThrogkVegkM
